is_muted,time_unmuted,is_speaking,speaking_duration,camera_on,hand_raised,hand_raise_count,message_length,hesitation_count,has_question,confidence_level,missing_assignments,grade_average,grade_trend,days_since_submission,late_submissions,struggle_label,_academic_observed,_latent_p
1,110,0,0,0,0,0,0,0,0,13,1,50,90,3,3,1,1,0.9477596146522473
1,177,1,116,1,0,5,18,1,0,67,0,80,100,0,0,0,0,0.02200296605492132
0,368,0,0,0,1,1,0,0,0,41,2,52,90,6,3,0,1,0.09304131247674294
1,0,0,0,0,0,0,0,0,0,0,0,80,100,0,0,1,0,0.8542019232673851
1,0,0,14,0,0,0,0,0,0,14,4,72,102,0,2,1,1,0.2772452613549588
1,28,0,17,1,0,0,0,0,0,46,1,80,114,3,0,0,1,0.049001857518384526
1,280,1,123,0,1,1,22,2,0,37,1,80,95,2,0,0,1,0.046518136945612625
1,106,1,60,0,0,2,25,1,0,43,2,80,110,23,0,0,1,0.006594571651809876
0,406,0,180,1,1,3,0,0,0,100,5,80,85,3,7,0,1,0.41802754864438385
0,320,0,327,0,0,0,31,0,0,57,6,43,74,3,1,0,1,0.3482601025939609
0,40,0,62,0,0,0,0,0,0,13,2,70,99,5,1,0,1,0.15145191442896236
0,178,0,248,1,0,1,27,4,0,62,4,77,101,2,4,0,1,0.01538754656662834
0,27,0,0,1,0,3,0,0,0,70,4,80,123,1,6,0,1,0.001477839423668875
1,64,0,0,0,0,0,11,3,0,0,0,80,100,0,0,1,0,0.8509368751063746
0,67,0,113,0,0,1,21,0,0,39,9,51,84,6,0,0,1,0.7915483707049141
0,130,0,7,1,0,0,25,1,1,49,6,67,98,3,2,0,1,0.04114302901525106
1,103,0,0,0,0,0,0,0,0,16,6,76,115,0,1,0,1,0.05576730506312687
1,95,0,55,1,0,0,0,0,0,40,1,75,112,0,0,0,1,0.0051830220973222004
1,0,0,38,0,0,0,20,0,0,21,0,80,100,0,0,0,0,0.18361146962272232
0,94,0,16,1,1,1,21,0,1,60,0,80,100,0,0,0,0,0.033002620718629146
0,2,0,6,1,1,0,7,0,0,26,10,80,88,0,2,1,1,0.9316291419926842
0,191,0,20,1,0,0,21,2,1,55,0,46,83,0,0,0,1,0.19139830118701645
1,41,1,26,0,0,0,0,0,0,12,5,66,103,8,1,0,1,0.32531897791494185
0,188,0,9,1,0,0,18,2,0,42,1,88,122,0,0,0,1,0.0007439974239214809
1,99,0,65,0,1,1,0,0,0,67,4,56,96,9,1,1,1,0.19118709334647868
0,508,0,186,1,1,0,25,0,0,78,1,71,109,1,1,0,1,0.040058926453689414
1,160,0,0,0,0,0,0,0,0,50,2,80,102,0,0,0,1,0.012431908130123308
0,225,0,153,0,1,2,0,0,0,73,3,50,70,6,2,0,1,0.3237394189862443
0,336,0,98,1,0,1,19,1,0,76,0,80,100,0,0,0,0,0.0028908996888168978
1,59,0,0,0,0,0,0,0,0,6,3,80,94,0,3,0,1,0.07503257475691913
0,24,0,14,1,1,1,21,1,1,46,0,65,103,4,1,0,1,0.00559914455123417
1,44,0,31,1,0,1,3,6,0,28,3,80,91,0,6,1,1,0.8902121222787696
0,116,0,0,0,0,0,0,0,0,34,2,61,95,0,1,0,1,0.1689579616642209
1,145,0,0,1,0,0,0,0,0,71,2,70,107,6,2,0,1,0.004155168045709273
1,168,0,0,0,1,1,0,0,0,22,0,80,100,0,0,0,0,0.04494850156915178
0,0,0,0,1,0,2,0,5,0,15,4,47,73,7,1,0,1,0.9255019495615167
1,180,0,34,1,0,3,0,0,0,67,3,80,91,10,5,1,1,0.6762680672557076
0,142,0,15,1,1,2,22,1,0,45,3,49,86,11,1,1,1,0.8018235365635005
1,69,0,101,0,0,0,48,3,0,40,4,36,72,13,11,1,1,0.9898880013268009
1,97,0,75,0,0,0,3,2,0,14,2,48,86,0,0,1,1,0.7345403776357452
1,0,0,0,0,0,1,0,3,0,0,1,56,101,4,1,0,1,0.4006628577094441
1,32,0,37,1,1,2,0,0,0,60,0,80,100,0,0,0,0,0.1409917869088599
0,272,1,59,1,1,0,21,0,0,47,1,80,108,3,2,0,1,0.02320747322548989
0,124,0,45,1,1,3,26,0,0,79,0,48,75,0,0,0,1,0.516088989051128
1,156,0,39,0,0,0,25,0,1,40,7,56,86,2,4,0,1,0.39486856925595887
0,226,0,189,1,0,4,0,0,0,90,6,69,101,0,5,0,1,0.008797353977236064
1,183,0,161,1,0,1,13,1,1,81,0,80,100,0,0,0,0,0.27224930783886114
1,0,0,10,0,0,2,20,0,0,25,0,80,100,0,0,1,0,0.2187872846525573
1,0,0,8,1,1,1,0,0,0,39,0,64,106,0,3,0,1,0.03735951584837843
0,430,0,0,0,0,0,0,0,0,100,0,80,100,0,0,0,0,0.06578991359662112
0,93,0,0,0,0,0,0,0,0,24,0,80,100,0,0,0,0,0.066585552733603
1,6,0,0,0,0,0,0,0,0,2,3,78,115,13,3,0,1,0.0036035804748449987
1,54,0,216,0,1,3,12,0,0,48,0,80,100,0,0,0,0,0.28486818437924943
1,112,0,109,0,0,0,24,1,0,34,1,80,97,0,0,1,1,0.2184837740887442
0,96,0,0,1,0,6,0,0,0,73,2,68,103,0,1,0,1,0.08172202819204218
1,20,0,0,0,0,2,0,0,0,25,2,75,99,0,1,0,1,0.0675782059554168
0,103,0,32,0,0,0,3,0,0,12,3,37,69,0,4,1,1,0.9814416245744325
1,27,0,37,0,0,0,4,3,0,0,0,80,100,0,0,1,0,0.6187923413652326
1,220,0,0,1,0,2,0,0,0,89,7,41,79,0,4,1,1,0.7478612119541638
0,268,0,137,0,0,0,0,0,0,40,3,65,100,4,1,0,1,0.09030161119182788
0,13,0,67,0,1,0,20,0,0,41,0,80,112,0,0,0,1,0.001536870247013589
1,121,1,2,0,0,3,25,0,0,28,2,60,99,0,0,0,1,0.019328746326981703
1,30,1,101,0,0,2,14,3,0,40,0,80,100,0,0,1,0,0.48702141229740176
0,262,1,66,1,0,2,9,1,0,50,0,80,100,0,0,0,0,0.2449302182754757
1,116,0,0,1,0,0,10,1,0,29,2,56,101,0,3,0,1,0.19492344597102598
1,123,0,0,1,0,1,0,2,0,26,0,80,100,0,0,0,0,0.45261632726779644
0,318,1,146,1,0,2,33,1,0,86,5,60,97,0,0,0,1,0.013517575053275367
0,158,0,220,1,1,3,65,1,0,77,0,80,100,0,0,0,0,0.4853927142531155
0,94,0,0,0,0,0,0,0,0,47,4,79,102,0,0,0,1,0.056312878349451215
1,104,0,31,1,0,0,17,1,0,37,0,80,100,0,0,1,0,0.7135571716182917
1,34,0,0,1,0,0,0,0,0,49,0,80,100,0,0,0,0,0.8317514489813626
1,0,0,9,1,0,2,13,3,0,32,0,65,99,1,0,0,1,0.1288714385329356
1,192,0,228,1,0,2,29,0,0,80,1,86,118,0,4,0,1,0.0037458057937506594
0,95,0,0,0,0,1,0,0,0,19,2,61,92,0,13,0,1,0.2219392057169096
0,229,0,105,1,0,1,9,2,1,59,1,78,110,0,1,0,1,0.007637568678278806
1,14,0,37,1,0,1,14,3,0,32,4,64,96,3,4,0,1,0.14338223620409676
1,0,1,31,0,0,1,8,5,1,9,0,85,115,5,4,0,1,0.0020704637690497326
1,39,0,0,1,0,3,0,0,0,72,0,78,120,15,0,0,1,0.0033610651271511706
1,80,0,0,0,0,0,0,0,0,25,2,80,82,0,7,1,1,0.8657115809791298
0,6,0,21,0,1,1,25,1,1,39,2,75,108,0,3,0,1,0.009535080723802368
1,158,0,100,1,1,0,20,3,1,67,5,73,110,0,0,0,1,0.028473827291763006
0,317,0,9,0,0,0,30,0,1,38,2,73,104,3,1,0,1,0.02742865941358946
0,104,0,37,0,0,0,0,0,0,31,1,80,84,5,1,1,1,0.6971469271092289
1,20,0,0,1,0,4,0,0,0,68,0,80,100,0,0,1,0,0.335862589323386
0,55,1,6,1,0,1,17,0,0,40,2,48,72,9,5,1,1,0.6685822598125508
0,312,0,315,1,1,1,41,1,0,76,3,94,130,3,1,0,1,0.00010953072777284639
1,0,0,55,0,0,0,0,0,0,33,5,80,81,4,3,1,1,0.8599872657472297
1,60,0,2,0,1,5,30,0,0,36,0,85,118,1,1,0,1,0.003708394901602614
0,312,0,109,0,0,0,22,4,0,36,5,60,95,0,5,0,1,0.298404251340836
1,155,0,27,0,0,0,0,3,0,2,5,44,72,10,3,1,1,0.9543735588330234
0,68,0,6,1,0,1,12,0,0,35,0,80,100,0,0,1,0,0.13841812997563543
0,109,0,0,0,0,1,0,0,0,13,2,52,87,0,0,1,1,0.5659065531187556
0,66,0,55,1,0,0,58,1,0,43,4,52,87,0,4,1,1,0.725032328183337
1,0,0,99,0,0,1,41,1,0,47,0,80,100,0,0,1,0,0.7681494791153038
1,154,0,0,0,0,0,0,0,0,19,0,80,100,0,0,0,0,0.9306343744851758
1,22,0,0,0,0,0,0,0,0,1,1,51,81,12,2,1,1,0.6517020674318632
0,202,0,23,1,0,0,0,0,0,48,0,80,100,0,0,0,0,0.03775525744080642
0,221,0,103,1,0,1,10,1,0,72,0,80,100,0,0,0,0,0.02533804322538044
1,20,0,26,0,0,0,0,0,0,14,0,60,105,0,3,0,1,0.17767624703871424
0,150,0,79,0,0,2,0,0,0,58,0,80,100,0,0,0,0,0.09104575307357167
1,9,0,55,1,0,3,0,0,0,64,0,80,100,0,0,1,0,0.7900557110228879
1,0,0,61,0,0,0,18,0,0,20,5,93,112,0,3,0,1,0.00864923372865053
1,0,0,0,1,0,0,0,0,0,27,8,75,111,3,8,0,1,0.015419169098159682
1,367,0,0,1,1,0,0,0,0,70,0,80,100,0,0,0,0,0.4637010157705217
1,376,0,157,0,1,0,21,5,0,29,0,85,110,0,2,0,1,0.02210006862810656
1,79,1,0,0,0,2,10,0,1,29,9,58,96,10,6,1,1,0.8228092540764073
0,124,1,163,0,0,2,33,1,1,59,1,55,85,4,0,1,1,0.1371836517625808
0,691,1,82,1,0,2,30,0,0,73,5,55,94,4,2,0,1,0.06974899210592625
1,49,0,0,0,0,0,0,0,0,13,3,44,83,0,2,1,1,0.956502070712162
0,114,0,34,0,0,1,20,0,0,39,6,62,100,0,0,0,1,0.18786920005931496
0,67,0,0,1,0,3,0,0,0,87,1,74,110,0,2,0,1,0.017684468112676092
1,55,1,55,0,1,1,16,1,0,47,0,80,107,5,0,0,1,0.11900041313599688
0,92,0,13,0,0,0,0,0,0,14,1,96,123,2,0,0,1,0.000152966194627068
0,154,0,0,1,0,1,0,0,0,65,1,80,92,3,0,0,1,0.1670385562740618
0,95,0,54,1,0,0,13,1,0,42,0,80,100,0,0,1,0,0.16288660543388497
1,201,1,228,1,1,0,28,1,0,68,0,80,100,0,0,1,0,0.5219809957552007
0,138,0,16,1,0,2,0,0,0,49,5,59,99,11,2,1,1,0.3658074263255274
1,0,0,6,0,0,0,7,1,1,12,0,80,100,0,0,0,0,0.6842217852875314
0,186,0,205,0,0,4,0,0,0,65,0,80,100,0,0,0,0,0.01118006878706256
0,190,0,0,1,0,0,0,0,0,58,4,65,116,0,0,0,1,0.00585828112262068
1,232,0,23,1,0,0,0,0,0,59,0,80,100,0,0,0,0,0.02023403890705579
0,54,1,26,1,1,6,0,0,0,62,1,80,112,9,2,0,1,0.0009863056863681724
1,108,0,56,0,0,0,0,4,0,15,0,80,100,0,0,1,0,0.5675017802135823
1,111,0,184,0,1,0,52,2,0,44,4,34,81,7,0,0,1,0.9202907345061759
1,294,1,172,0,1,1,16,0,0,52,2,79,112,6,0,0,1,0.003875182908672015
0,53,1,49,0,0,1,14,3,0,19,0,80,100,0,0,0,0,0.2670865022942335
0,245,0,36,1,1,0,8,2,0,36,0,80,100,0,0,1,0,0.30220032049754914
0,69,0,0,0,0,2,0,0,0,28,2,41,64,0,4,1,1,0.9885205592811186
1,90,0,3,0,1,0,7,2,0,4,2,80,105,3,1,0,1,0.0312939959654338
1,310,0,67,1,0,0,11,1,1,53,1,34,77,0,1,1,1,0.8489866103529232
1,209,0,154,0,0,2,29,3,0,46,1,80,88,9,3,1,1,0.6949252936003285
1,21,0,50,0,0,0,0,0,0,23,0,94,117,0,0,0,1,0.007977662079259595
0,0,0,0,0,0,0,0,0,0,0,2,57,101,0,1,0,1,0.25763817678163137
1,40,0,67,0,0,0,45,4,0,24,0,49,73,10,5,1,1,0.9439402379269738
0,150,0,56,1,1,2,45,1,0,79,4,55,82,4,2,0,1,0.049230879414107
1,213,1,70,1,1,1,35,2,0,79,2,80,102,0,0,0,1,0.027152155449649124
1,43,0,0,1,0,0,0,0,0,36,2,80,70,5,3,0,1,0.31658655929985885
1,123,0,0,1,0,1,0,0,0,69,0,80,100,0,0,1,0,0.8021047010808081
0,419,0,0,1,0,0,0,0,0,77,0,80,100,0,0,0,0,0.01966851475261569
0,67,1,22,1,0,0,0,0,0,61,2,42,79,0,4,1,1,0.9013973201766392
1,0,0,55,1,0,0,0,3,0,25,1,34,78,13,2,1,1,0.9886597236006966
0,136,0,0,1,0,1,0,0,0,39,0,80,100,0,0,0,0,0.08943059655216185
